day,day_of_week,hour,month,year,timestamp,close,high,low,open,volume,average_true_range,chaikin_money_flow,commodity_channel_index,close_middle_band,close_upper_band,close_lower_band,exponential_bollinger_bands,information_coefficient,logarithmic_return,market_capitalization,middle_point,moving_average_convergence_divergence,percentage_price_oscillator,close_moving_average,awesome_oscillator,rate_of_change,relative_strength_index,volume_weighted_average_close,volatility_per_day,volatility_per_week,volatility_per_month,volatility_per_year,close_lag_1,close_lag_2,close_lag_3,ret_1,ret_2,ret_3,ret_6,ret_12,acc_1_2,acc_2_6,acc_3_12,slope_5,slope_10,slope_20,slope_5_norm,slope_10_norm,slope_20_norm,up_move,down_move,up_ratio_5,up_ratio_10,up_ratio_20,down_ratio_5,down_ratio_10,down_ratio_20,up_streak,down_streak,dist_to_roll_max_5,dist_to_roll_min_5,range_position_5,dist_to_roll_max_10,dist_to_roll_min_10,range_position_10,dist_to_roll_max_20,dist_to_roll_min_20,range_position_20,dist_to_roll_max_50,dist_to_roll_min_50,range_position_50,vol_5,vol_10,vol_20,vol_50,vol_ratio_5_20,vol_ratio_10_50,dist_to_ma_5,dist_to_ma_10,dist_to_ma_20,dist_to_ma_50,trend_strength_10,trend_strength_20,pos_ret_mean_10,neg_ret_mean_10,ret_asymmetry_10,pos_ret_mean_20,neg_ret_mean_20,ret_asymmetry_20,momentum
14,0,22,4,2025,1744668000,0.452,0.454,0.449,0.452,79478.79,0.0050000000000000044,,,0.452,,,0.0,,,35924.41308,0.4515,0.0,0.0,,,,,0.452,0.011123484286067815,0.01767590356113677,0.023991698514818957,0.019864325653934256,,,,,,,,,,,,,,,,,,0,0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,0,23,4,2025,1744671600,0.452,0.455,0.45,0.452,82535.17,0.0050000000000000044,,85.30177042885595,0.452,0.452,0.452,0.0,,0.0,37305.89684,0.4525,0.0,0.0,,,,,0.452,0.011123484286067815,0.01767590356113677,0.023991698514818957,0.019864325653934256,0.452,,,0.0,,,,,,,,,,,,,,0,0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,1,0,4,2025,1744675200,0.449,0.453,0.446,0.451,87695.07,0.005250000000000005,,-111.20765130804057,0.45171428571428573,0.454860355581751,0.4485682158468205,-0.03120355712320041,,-0.006659292089976849,39375.08643,0.4495,-0.00023931623931622292,-0.05297211396571585,,,,0.0,0.45094643293436365,0.022160253809491225,0.01767590356113677,0.023991698514818957,0.019864325653934256,0.452,0.452,,-0.006637168141592875,-0.006637168141592875,,,,0.0,,,,,,,,,0,1,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,1,1,4,2025,1744678800,0.446,0.452,0.443,0.449,103566.29,0.005718750000000005,,-119.20346947064785,0.4511700680272109,0.4568958910119881,0.4454442450424337,-0.05943534690133375,,-0.006703935722190218,46190.56534,0.4475,-0.0006634037061387654,-0.14698216651627488,,,,0.0,0.44949633529452326,0.022160253809491225,0.01767590356113677,0.023991698514818957,0.019864325653934256,0.449,0.452,0.452,-0.006681514476614692,-0.013274336283185861,-0.013274336283185861,,,0.00659282180657117,,,,,,,,,0,1,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,1,2,4,2025,1744682400,0.445,0.449,0.443,0.445,104719.96,0.005753906250000005,,-110.82141414789575,0.45058244250080987,0.45760912015322236,0.44355576484839737,-0.06417602338036899,,-0.002244669853823862,46600.3822,0.446,-0.0010678778900465868,-0.23684333269992278,,,,0.0,0.4484682547165114,0.022160253809491225,0.01767590356113677,0.023991698514818957,0.019864325653934256,0.446,0.449,0.452,-0.0022421524663677195,-0.008908685968819552,-0.015486725663716783,,,0.006666533502451832,,,-0.0019999999999999575,,,-0.0044563279857297265,,,0,1,0.0,,,0.6,,,0.0,3.0,-0.01548672566589493,-2.247091401841317e-12,0.0,,,,,,,,,,,,,,,,-0.00846702317511483,,,,,,,,,,,,0
15,1,3,4,2025,1744686000,0.446,0.447,0.443,0.446,33992.27,0.005534667968750005,,-96.16289668373582,0.45014601940549465,0.4572849808442617,0.44300705796672757,-0.0476628354459338,,0.0022446698538239494,15160.552419999998,0.445,-0.001292831989802845,-0.28696566888957653,,,,16.466627634660412,0.4482977187329231,0.022160253809491225,0.01767590356113677,0.023991698514818957,0.019864325653934256,0.445,0.446,0.449,0.0022471910112360494,0.0,-0.006681514476614692,,,0.0022471910112360494,,,-0.0015999999999999658,,,-0.0035746201965960486,,,1,0,0.2,,,0.6,,,1.0,0.0,-0.013274336285368782,0.002247191008983851,0.14285714283673467,,,,,,,,,,0.003978728693379767,,,,,,-0.0035746201988301474,,,,,,,,,,,,0
15,1,4,4,2025,1744689600,0.448,0.45,0.441,0.445,63490.42,0.005967834472656255,,-69.07513597869337,0.44994163660497133,0.45658264731150605,0.4433006258984366,-0.022321146368949198,,0.004474280394921107,28443.70816,0.4455,-0.0012948007917223947,-0.2875217139288068,,,,39.46853124031134,0.4482636898633441,0.022160253809491225,0.01767590356113677,0.023991698514818957,0.019864325653934256,0.446,0.445,0.446,0.004484304932735439,0.006741573033707926,0.004484304932735439,-0.008849557522123908,,-0.002257268100972487,0.015591130555831834,,-0.00019999999999996022,,,-0.00044762757385745887,,,1,0,0.4,,,0.6,,,2.0,0.0,-0.0022271714944270826,0.0067415730314455136,0.7499999998124999,,,,,,,,,,0.005081567094957072,,,,,,0.002685765440907373,,,,,,,,,,,,0
15,1,5,4,2025,1744693200,0.45,0.451,0.446,0.447,145272.18,0.005846855163574224,,-14.227021872723096,0.44994719502354547,0.4560311529640875,0.4438632370830034,0.0006070485102274027,,0.004454350349380375,65372.481,0.4485,-0.001122043576226639,-0.2491730661841626,,,,54.06366331238973,0.4486236434911929,0.022160253809491225,0.01767590356113677,0.023991698514818957,0.019864325653934256,0.448,0.446,0.445,0.0044642857142858094,0.008968609865470878,0.011235955056179803,-0.004424778761061954,,-0.0045043241511850685,0.013393388626532832,,0.0010999999999999942,,,0.002460850111851305,,,1,0,0.6,,,0.4,,,3.0,0.0,-2.2222224060897133e-12,0.011235955053907398,0.9999999997999999,,,,,,,,,,0.004840611723669041,,,,,,0.006711409393720835,,,,,,,,,,,,0
15,1,6,4,2025,1744696800,0.446,0.45,0.444,0.45,190775.33,0.005865998268127447,,-60.9541236886198,0.44957127168796973,0.45579183402158563,0.44335070935435383,-0.041055508464537815,,-0.008928630744301431,85085.79718,0.447,-0.0012929939791718748,-0.2873397248154041,,,,34.735852048297446,0.4480622165167954,0.022160253809491225,0.01767590356113677,0.023991698514818957,0.019864325653934256,0.45,0.448,0.446,-0.008888888888888946,-0.004464285714285698,0.0,-0.006681514476614692,,-0.004424603174603248,0.0022172287623289932,,0.0006000000000000227,,,0.001342281879191679,,,0,1,0.6,,,0.4,,,0.0,1.0,-0.008888888891091296,0.002247191008983851,0.19999999995999998,,,,,,,,,,0.005681713214550642,,,,,,-0.0022371364675563,,,,,,,,,,,,0
15,1,7,4,2025,1744700400,0.448,0.45,0.445,0.446,58872.06,0.005757748484611517,,-36.49231856185956,0.44942162676530595,0.4552994882740454,0.44354376525656647,-0.016343088623876855,,0.004474280394921107,26374.68288,0.4475,-0.0012526503463891059,-0.27846535533396155,0.44820000000000004,-0.0007000000000000339,,45.895031591745344,0.44805836253532383,0.022160253809491225,0.01767590356113677,0.023991698514818957,0.019864325653934256,0.446,0.45,0.448,0.004484304932735439,-0.004444444444444473,0.0,0.004484304932735439,,0.008928749377179912,-0.008928749377179912,,0.00019999999999996022,-0.0003999999999999807,,0.0004468275245744267,-0.0008924587237819908,,1,0,0.8,0.4,,0.2,0.4,,1.0,0.0,-0.0044444444466567035,0.0044843049304832405,0.49999999987499993,-0.008849557524316709,0.0067415730314455136,0.4285714285102041,,,,,,,0.005809173096759742,,,,,,0.0008936550469149651,-0.00044622936412219705,,,-0.00035698348951279635,,,,,,,,0
